Row Labels,연도,도시지역면적,비만율,유치원 원아수,초등학교 학생수,토지거래면적,혼인건수,노인 천명당 노인여가복지시설수,1인가구비율,등록외국인 현황,유아 천명당 보육시설수,지가변동률,출생아수,학급당 학생수,대학교수,독거노인가구비율,유치원수,인구 십만명당 문화기반시설수,인구 천명당 사설학원수,주택수,초등학교수,평균연령,빈집수,빈집지수
강원 화천군,2017,13229891,37.3,341,1117,7047,196,12.18,37.9,230,13.4,3.247,199,13.87,0,10.6,14,26.9,0.73,9682,13,43.3,677,6.535379900000001
부산 동구,2018,11593305,28.8,756,2505,206,384,2.73,36.8,1714,16.3,5.355,321,21.97,0,13.8,9,4.525,0.81,31508,7,48.4,3992,11.2450704
인천 남동구,2018,68648644,31.4,9696,30053,2136,2679,1.91,25.4,12530,14.1,3.878,3782,24.05,0,5.5,85,1.85,1.35,181834,38,40.6,1981,1.0777139999999998
강원 태백시,2017,66633000,28.3,407,2323,2389,209,7.89,31.5,254,14.6,1.952,242,19.01,1,11.7,13,17.43,1.09,21179,12,45.9,3493,14.1577497
경기 안양시,2017,58480054,27.0,7048,29890,1676,3158,2.4,20.8,6933,17.8,3.322,4125,26.19,4,4.7,83,2.72,1.86,178175,41,40.5,7155,3.8606808999999997
전남 장흥군,2016,37238230,32.9,326,1539,12411,125,25.92,36.1,565,13.4,2.2,163,16.31,0,21.0,16,12.29,0.64,17000,15,50.9,1981,10.4367525
전남 보성군,2018,24034080,37.6,189,1399,16588,139,23.12,38.3,492,10.3,3.136,170,14.03,0,23.8,19,20.735,0.65,19800,17,53.4,3166,13.7855961
경북 군위군,2017,7443500,27.5,111,506,14175,77,18.35,37.5,565,11.3,4.488,100,13.43,0,21.5,8,20.65,0.33,10855,7,55.0,1490,12.069663799999999
울산 남구,2017,73691355,25.5,4707,16491,1980,1785,2.78,27.7,4928,15.1,3.675,2409,25.65,1,4.4,46,2.98,3.28,106009,30,40.0,7944,6.971295199999999
경북 청도군,2016,21150000,28.9,300,1148,14974,141,16.88,35.2,1039,11.6,2.169,163,18.5,0,20.1,15,11.48,0.67,20527,11,52.4,3821,15.6932808
강원 양구군,2018,3710000,34.2,139,1100,3683,152,14.64,34.3,258,13.6,2.858,164,15.37,0,9.9,9,37.9,0.9,8277,10,43.4,170,2.0125488000000002
서울 양천구,2017,17469613,25.3,4972,24526,554,2021,2.28,20.4,3864,16.7,3.793,2876,25.74,0,5.1,50,1.91,2.23,137056,30,40.6,3300,2.3511642
부산 동래구,2016,16697577,25.5,4096,12144,840,1237,2.64,23.9,920,10.7,4.637,1737,26.26,0,6.9,34,2.93,1.84,84217,22,42.8,4592,5.1706471
서울 종로구,2018,23972507,32.5,1299,5507,523,676,2.0,39.7,9961,16.5,5.811,644,23.2,3,6.8,17,41.075,1.79,45729,13,42.3,2236,4.6617325
울산 동구,2018,36351722,28.8,2729,10353,749,882,2.27,25.8,3137,13.9,-3.032,1312,23.83,1,4.4,26,1.795,1.68,53500,16,39.4,3874,6.7521873999999995
충북 옥천군,2016,55061021,23.6,622,2180,21221,187,16.66,27.0,776,14.0,1.75,274,18.2,1,14.2,17,11.48,0.78,20738,12,48.4,2362,10.2251082
전남 영광군,2016,47015634,32.4,424,2329,9730,238,19.49,33.4,761,7.9,1.887,403,18.28,1,16.8,16,10.79,1.17,22596,13,47.7,3318,12.8038898
세종특별자치시,2016,140971433,30.1,4888,17910,14808,1612,12.95,30.6,3745,12.1,4.775,3297,21.69,2,4.0,45,5.35,1.06,86607,37,36.1,10115,10.4578069
경북 울릉군,2016,10483319,30.8,110,291,649,46,7.87,41.3,145,6.9,3.618,38,12.7,0,10.0,6,40.0,0.2,2964,4,48.1,146,4.6945338
경북 영양군,2018,11453000,23.3,109,523,11099,54,20.94,36.2,206,10.0,2.7,63,12.9,0,21.1,8,28.8,0.35,8209,6,53.5,1195,12.7073586
강원 삼척시,2017,80176759,31.7,814,2783,12203,274,11.65,36.2,825,17.6,2.53,337,17.15,0,12.8,18,14.6,1.08,29323,19,45.4,4532,13.3865013
전남 완도군,2016,26633097,31.2,618,2109,6728,254,15.64,33.7,1668,11.0,1.953,386,16.0,0,17.5,24,11.39,0.68,21159,21,49.4,2549,10.751645
충남 예산군,2016,36763842,34.5,783,3190,11343,306,12.73,29.0,2032,13.0,1.733,316,18.49,0,13.9,28,14.75,1.05,33502,24,48.7,4163,11.0527014
부산 남구,2017,42507261,26.4,2970,12130,730,1023,2.69,28.7,5007,13.3,6.85,1439,23.87,4,7.6,26,3.65,1.19,100948,21,42.9,11022,9.843708099999999
서울 동대문구,2016,14626119,27.0,3388,14212,687,1796,1.93,36.3,15243,15.4,2.574,2383,24.75,4,6.2,32,2.82,1.0,96464,21,41.4,1929,1.9605053000000001
부산 해운대구,2016,55065412,27.0,5482,20869,1343,1760,3.04,23.8,3990,11.7,7.415,2845,25.44,1,6.9,42,2.38,1.56,139128,33,41.6,8968,6.0555315
강원 홍천군,2016,30715247,30.9,701,2968,21329,304,9.44,30.7,885,15.8,2.716,403,16.92,0,11.4,25,8.56,1.21,27664,25,46.7,3333,10.752653500000001
대전 유성구,2017,177251011,24.7,7364,23055,4175,2126,4.48,32.3,6091,18.4,3.883,3375,24.58,5,3.1,74,4.31,1.52,113276,38,36.3,8510,6.987666900000001
경북 포항시,2016,388613318,25.7,8845,26552,21299,2599,5.71,26.7,5255,18.3,2.327,4088,24.38,4,7.0,115,3.68,1.49,185782,65,41.7,16492,8.153297
경기 과천시,2018,35853000,25.0,353,2799,1357,232,2.59,18.2,183,19.9,5.581,281,24.23,0,5.7,7,21.88,1.31,12772,4,41.8,206,1.5873016
충북 음성군,2016,35069605,31.0,1137,4635,15657,589,16.42,34.2,8632,13.6,2.685,772,19.94,2,8.4,25,9.2,0.94,39598,22,42.6,5752,12.6835722
부산 사하구,2017,68381835,24.5,4307,14394,1477,1697,2.53,27.2,4131,13.7,4.408,2065,23.47,2,7.5,45,1.8,1.37,114558,27,42.7,7309,5.997521900000001
경기 포천시,2018,39013035,33.3,1164,7046,16121,715,7.83,30.6,12798,19.9,2.798,772,19.73,2,8.2,35,9.525,0.93,53552,31,43.5,4041,7.016477699999999
경북 영주시,2016,50085198,28.9,1190,4998,13292,448,10.2,31.3,1040,12.1,2.336,611,23.21,2,12.2,26,9.15,1.6,42591,18,45.9,4513,9.5809273
경남 함양군,2017,19391344,23.2,328,1591,12505,108,21.25,36.4,407,13.4,3.276,160,16.52,0,21.1,12,9.96,1.1,18187,13,51.4,2920,13.834273
충북 괴산군,2018,12417874,33.5,212,1065,11695,132,19.9,37.8,899,16.4,2.224,101,12.43,1,16.5,15,15.34,0.41,16380,14,51.1,1808,9.9406202
경기 의정부시,2017,81598379,31.7,5332,21918,2492,2019,2.84,24.4,4116,21.7,2.438,2669,25.19,1,6.2,66,1.36,1.6,138767,33,41.3,7856,5.3579588
전남 목포시,2017,112490000,32.7,4067,15569,1895,1050,4.4,30.3,2868,18.0,2.516,1431,24.87,3,8.3,58,7.25,2.17,88762,33,41.0,9394,9.570479599999999
강원 영월군,2016,26383940,33.8,335,1457,12883,182,13.13,34.3,257,13.3,1.63,163,14.39,1,14.3,15,74.86,0.7,16673,13,49.0,2147,11.4080765
울산 동구,2017,36351722,26.7,2930,10053,793,1085,2.33,25.4,3491,12.4,-1.855,1717,24.81,1,3.9,26,1.77,1.64,53365,16,38.7,3281,5.7921124
전남 광양시,2018,176886009,30.8,1531,9249,8769,748,11.39,26.5,1598,16.3,3.138,1171,22.24,2,6.8,38,5.445,1.62,60122,28,40.5,9334,13.4387238
전남 고흥군,2018,32660659,36.8,285,1980,19322,189,20.29,38.3,980,14.2,3.608,219,14.72,0,24.5,21,16.56,0.78,33618,17,55.4,6294,15.769693300000002
경기 김포시,2018,101933117,29.1,10257,28484,10779,2076,4.56,21.5,19849,15.0,5.142,3238,24.64,2,4.4,93,2.7,1.62,141596,42,38.9,7547,5.0602442
대전 동구,2016,120563421,29.5,2967,12000,1396,1178,3.19,35.3,3874,18.9,2.953,1666,23.66,4,7.3,38,5.53,0.97,77569,23,40.9,4230,5.1712124
경북 경산시,2017,114831835,28.2,4525,12565,10337,1341,7.34,33.1,9194,15.0,5.014,2091,23.33,12,6.6,67,5.78,1.28,90340,31,40.2,8027,8.160257
경북 청송군,2018,6196276,37.9,216,623,14077,87,18.67,36.9,203,15.2,3.526,84,13.03,0,19.4,8,27.075,0.51,12428,8,54.3,2040,14.1000829
서울 금천구,2018,13012685,28.2,1716,8883,885,1269,1.51,35.9,20104,18.9,4.691,1314,21.21,0,6.7,18,2.55,0.95,65244,18,43.6,1213,1.8252404
경기 안성시,2018,155948886,31.2,2481,10821,15322,921,11.1,30.7,11375,22.4,2.895,1043,21.75,3,7.2,51,6.025,1.25,70478,35,41.5,7976,10.166466999999999
경북 청송군,2016,6196276,30.6,216,688,11805,113,18.9,35.0,251,13.3,2.346,118,14.36,0,18.6,8,26.61,0.53,12081,8,53.3,1667,12.1254001
경남 산청군,2018,10302447,25.5,163,1097,13550,115,21.87,37.6,677,12.4,2.924,143,13.19,0,20.6,13,26.045,0.58,16688,13,53.2,2928,14.9265905
서울 은평구,2016,29793436,27.3,4586,23037,1205,2573,1.65,24.9,4461,14.2,2.266,3522,25.36,1,5.8,48,2.44,0.95,142135,30,41.8,4582,3.1230191
경북 울릉군,2018,10483319,35.2,118,290,706,50,8.26,42.0,182,3.8,4.382,32,11.45,0,10.7,6,40.15,0.2,2996,4,49.1,125,4.0051266000000005
경북 안동시,2016,75315830,26.7,2340,8174,32227,729,11.34,32.2,1335,12.2,3.142,1330,22.61,3,11.3,41,9.48,1.39,65585,30,44.2,7541,10.312337600000001
서울 서대문구,2018,17685845,28.3,2614,13027,601,1393,1.72,35.2,12767,12.4,5.354,1647,23.23,6,6.2,27,4.17,1.11,94884,19,41.6,2401,2.4680064
광주 북구,2016,120308865,23.8,6738,24025,3773,2190,5.07,29.3,4597,15.0,2.161,3437,24.61,6,6.2,106,3.85,2.11,150634,46,39.7,8683,5.450140299999999
전남 영광군,2017,47015634,30.4,427,2305,12028,221,19.29,33.6,858,8.4,4.121,360,18.07,1,17.3,16,10.95,1.2,22799,13,48.3,3457,13.166514300000001
충북 진천군,2017,26278219,31.3,747,4153,10126,420,16.89,31.4,5575,12.6,3.43,513,20.32,0,8.4,16,12.22,1.09,32239,15,41.8,5504,14.582836599999998
부산 부산진구,2016,29682617,23.9,5554,15696,1006,1914,3.09,31.7,2324,10.8,4.48,2692,23.43,3,7.9,48,2.12,1.54,131528,32,42.9,12077,8.4098743
광주 동구,2018,49196644,29.3,917,3211,2226,378,4.19,39.7,1872,13.6,5.153,460,21.44,3,8.8,18,17.31,2.77,34905,11,44.5,4056,10.4104104
강원 철원군,2017,26458928,29.1,335,2326,10716,272,9.76,30.7,736,13.1,2.897,349,18.05,0,10.2,13,12.72,1.1,16287,16,44.0,505,3.0073844999999997
인천 부평구,2017,31994589,30.7,6484,26138,1097,2851,2.02,24.0,12221,15.2,3.862,3845,23.87,0,5.8,68,2.22,1.25,173133,42,40.9,9386,5.1424783000000005
인천 부평구,2018,31994589,29.7,6189,25430,2084,2651,1.94,24.8,13497,16.6,3.562,3576,22.85,0,6.2,67,2.24,1.26,171740,42,41.7,9393,5.1856922999999995
서울 관악구,2018,29563482,26.1,3830,15768,560,3090,1.27,47.6,18083,16.8,4.757,2582,22.69,1,4.9,36,2.3,0.9,125148,22,41.5,548,0.4359725
경남 고성군,2018,23219220,28.4,272,2240,9942,162,16.19,35.3,1251,14.3,2.166,207,16.19,0,18.2,18,16.75,1.31,23918,19,49.6,4054,14.4930645
전남 광양시,2017,176886009,24.1,1617,9076,8547,790,12.16,26.1,1546,15.8,3.1,1300,22.92,2,6.6,38,5.13,1.69,59981,28,39.9,9502,13.6752875
통합청주시,2016,337378337,27.5,10890,49338,23167,4810,7.61,28.5,11752,15.8,1.92,7797,25.32,8,5.5,139,4.91,1.76,267024,89,38.7,23811,8.187116399999999
충북 단양군,2016,35644901,32.3,145,1174,8148,113,14.9,32.1,243,16.4,2.312,112,14.1,0,15.1,14,26.23,0.43,13093,11,50.1,1827,12.2453083
광주 서구,2017,47775736,28.5,4766,17461,1529,1532,4.49,30.9,1634,17.8,3.887,2011,23.63,0,5.7,60,3.26,2.63,103503,30,40.0,6478,5.8901083
인천 계양구,2016,45570111,30.2,4106,16884,1113,1690,3.51,21.3,3060,17.2,1.375,2455,25.28,2,4.3,39,2.12,1.17,108431,26,39.5,4519,4.000885299999999
강원 속초시,2016,42065437,31.2,597,4023,1973,353,4.68,30.5,877,16.6,3.451,517,25.15,0,8.9,9,11.0,1.5,32434,12,43.4,3367,9.4047652
경남 남해군,2018,11801283,32.0,159,1368,7924,116,13.1,36.8,829,14.8,4.513,107,15.01,1,23.3,10,11.26,1.0,22473,13,53.5,4440,16.4976034
충북 영동군,2016,31106651,30.4,466,1799,14748,188,19.02,35.0,554,9.8,1.284,228,16.95,1,15.5,16,17.8,0.79,21088,15,48.4,2886,12.0380412
서울 중구,2018,9974292,26.1,1123,5226,278,778,1.66,39.2,9908,14.7,5.327,733,21.9,2,7.4,14,19.055,0.95,40177,12,43.0,1931,4.5858269
경남 남해군,2016,11801283,33.6,221,1455,6581,121,13.48,36.0,865,15.3,2.448,140,16.7,1,22.6,10,11.08,0.97,21802,13,52.6,3765,14.726014000000001
대전 서구,2018,73093288,31.2,7866,26789,2386,2446,2.48,31.6,3455,19.8,3.72,3078,24.09,3,4.9,81,2.27,1.83,149952,39,39.6,7558,4.7984255000000005
경기 남양주시,2016,241792390,27.6,11143,42143,14659,3037,4.63,17.7,6542,17.0,3.18,5218,26.71,1,4.4,109,3.93,1.31,204573,60,39.4,5938,2.8207552000000002
경기 수원시,2018,121138690,30.8,20185,69067,4293,6902,2.87,28.8,41046,18.2,3.493,8832,26.08,4,4.5,195,3.155,1.74,365222,97,39.0,17983,4.692788500000001
전남 해남군,2017,37986279,29.9,582,2899,31401,275,21.24,34.1,1365,8.3,2.943,640,17.45,0,19.7,24,13.59,0.83,30305,21,49.8,3873,11.3318509
경기 광주시,2016,172260533,31.8,2848,17042,16925,2162,4.84,21.5,12114,15.8,2.175,3044,28.59,2,3.7,38,4.58,1.14,97373,25,39.4,6008,5.8115128
전북 남원시,2017,30647473,28.6,574,4115,15267,324,18.02,32.6,976,21.3,2.926,433,18.54,1,16.0,29,9.61,1.43,33573,27,47.7,3987,10.615015999999999
대구 북구,2018,93979569,28.4,7729,22867,2880,1984,3.3,28.1,5127,13.6,4.092,2785,23.14,4,6.3,76,3.065,1.36,141295,38,40.7,6449,4.3649827000000005
부산 서구,2017,29362772,27.3,1022,3694,430,435,2.34,35.3,1673,12.3,5.74,458,23.61,0,11.8,10,4.54,0.98,38735,11,46.6,3424,8.121634799999999
충남 서산시,2016,200253628,27.5,2178,10015,17738,1007,10.12,27.4,3974,15.3,1.795,1564,24.06,1,7.8,41,4.1,1.2,63024,28,41.6,6707,9.618390699999999
경북 예천군,2017,14497079,28.6,249,1377,14335,169,17.71,33.8,533,14.1,3.893,231,16.09,1,19.7,13,12.18,0.67,24169,11,51.1,5144,17.548528
충남 부여군,2017,43391336,37.3,539,2481,13348,220,16.79,30.9,1209,14.3,1.949,262,15.92,1,17.2,28,11.58,0.77,28922,25,50.8,3216,10.0068455
전남 신안군,2017,3720000,28.4,228,937,15661,154,22.85,38.1,767,11.8,3.477,206,9.74,0,21.1,22,14.26,0.14,17101,19,53.4,2153,11.182092
충남 공주시,2017,60114957,29.6,1333,4601,19069,383,12.2,33.4,1996,21.3,2.341,569,20.26,2,11.3,35,15.68,1.23,42343,28,45.7,4979,10.5215333
강원 양구군,2016,3710000,34.4,165,1156,5321,168,15.7,36.9,254,12.6,2.228,208,16.67,0,8.5,9,37.48,0.67,8285,10,42.3,227,2.6668233
경북 안동시,2018,79029099,29.7,2279,8655,21733,603,10.84,34.1,1533,14.9,3.119,947,21.86,3,12.4,41,9.69,1.53,67743,30,45.7,9733,12.562599999999998
경북 군위군,2018,7443500,37.4,90,496,10396,67,18.06,38.3,546,11.1,3.631,81,12.37,0,21.6,8,20.63,0.33,10936,7,55.4,1525,12.2381831
강원 동해시,2016,124277317,28.9,1362,5184,3080,447,5.14,27.9,661,15.4,2.164,662,23.99,1,9.0,18,5.36,1.34,36363,14,43.0,3825,9.517766499999999
경북 포항시,2017,388602403,30.4,8680,26717,25406,2430,5.42,27.5,5384,18.4,2.047,3511,23.98,4,7.5,115,3.89,1.55,188384,64,42.3,18398,8.8972928
경기 구리시,2018,33292067,31.2,2493,10151,872,923,3.88,22.2,1424,16.7,5.734,1318,25.71,0,5.1,32,2.95,1.78,58785,16,40.9,1427,2.3699595
전북 정읍시,2016,47833455,27.5,1257,5380,13746,414,19.36,31.5,2145,17.7,2.012,646,19.26,1,15.7,43,10.42,1.72,45788,35,46.6,5145,10.101505900000001
대구 동구,2016,146895864,24.4,5631,16891,4795,1978,2.62,26.6,1788,11.6,3.712,2806,23.0,0,8.1,63,2.85,1.03,115006,32,42.6,6456,5.3152426
부산 연제구,2018,12094555,31.3,1681,9498,1022,904,2.5,27.9,785,10.8,6.093,1264,23.81,2,7.8,17,1.93,1.36,68929,16,44.0,4179,5.7162007
충북 괴산군,2016,12228633,35.0,255,1092,15315,155,21.28,36.4,775,14.3,1.868,120,13.22,1,16.6,16,15.4,0.38,15907,15,50.2,1495,8.5909666
충남 당진시,2017,74584470,27.5,1696,9937,17282,1047,9.3,31.2,5377,15.1,3.207,1585,23.33,1,7.6,36,7.17,1.18,60720,30,41.6,6086,9.1099602
경남 통영시,2018,61682008,31.2,1788,8333,4591,546,7.23,30.3,3800,17.8,2.309,641,22.6,0,9.8,30,10.4,1.66,51096,20,43.5,6355,11.0616003
전북 남원시,2016,29871000,24.0,647,4268,14727,328,18.23,31.9,952,20.7,1.847,520,19.37,1,15.6,29,9.5,1.46,33611,27,47.0,3912,10.4256056
경북 칠곡군,2018,148869428,34.4,1837,6969,7914,657,10.77,32.0,3961,18.8,3.296,876,21.04,2,6.7,33,5.845,1.52,42113,21,40.6,5038,10.6848211
부산 서구,2016,29362772,29.8,1117,3819,335,476,2.35,34.4,1580,12.7,3.357,574,23.82,0,11.3,11,3.54,1.01,38965,11,46.1,3581,8.4167724
경기 수원시,2016,121138690,27.3,21223,68571,4735,7765,3.15,27.4,37183,16.9,1.835,10940,27.12,4,4.0,196,2.93,1.72,339319,97,37.9,9847,2.8201486
전북 장수군,2016,5498500,22.2,241,993,11593,81,30.58,32.5,388,7.7,1.601,126,14.7,0,18.7,8,16.93,0.59,9368,8,49.8,1037,9.9663623
통합청주시,2018,337378337,30.5,10066,49823,20619,4387,6.88,30.1,13579,16.2,3.629,6429,24.39,8,6.0,140,4.73,1.69,283664,89,39.8,23811,7.744044199999999
경기 오산시,2017,42757001,30.5,6500,15696,2536,1294,15.37,28.4,8428,16.7,2.711,1959,26.27,2,3.4,50,5.62,1.19,67592,22,36.8,3546,4.9846777
전남 무안군,2018,30744451,32.7,823,4602,14310,348,18.66,32.2,1600,15.3,3.465,448,20.89,2,11.8,21,15.64,1.95,32343,18,42.3,5611,14.783685499999999
충남 태안군,2018,35471551,32.5,372,2492,11722,226,9.77,33.4,1340,13.9,2.366,268,16.17,0,13.8,23,13.29,1.6,27478,19,49.7,3995,12.6934198
전남 곡성군,2018,15477288,32.6,149,967,10558,69,25.99,39.6,494,14.7,3.434,130,16.06,1,22.5,8,19.995,0.78,13361,8,51.4,2257,14.4512742
전남 고흥군,2016,31675678,25.7,336,2113,17923,219,20.51,38.2,813,13.2,2.658,270,15.76,0,24.7,21,11.82,0.74,33213,17,54.6,5537,14.2890323
대구 달성군,2018,376384952,33.0,6051,14974,8001,1704,7.29,23.7,5802,10.4,4.179,2832,22.63,1,5.4,45,2.33,1.48,91215,32,39.1,7732,7.8142844
경기 양평군,2017,51198870,25.7,676,5118,19961,462,9.89,30.3,1593,13.5,3.579,618,21.45,1,10.8,27,16.51,0.7,41689,22,46.5,4089,8.9322382
인천 동구,2016,7612731,32.2,1073,4186,149,380,2.19,24.6,901,19.0,1.498,527,22.82,1,9.4,13,4.22,0.69,25507,8,43.6,9394,26.916134200000002
경북 경주시,2017,460490505,29.1,3297,11757,24070,1035,8.65,33.5,10188,17.2,2.479,1364,22.35,3,10.7,62,7.37,1.39,100224,43,44.5,12481,11.0740429
대전 유성구,2016,177251011,24.4,7627,23195,4866,2320,4.72,31.4,5885,18.6,4.217,3647,25.2,5,2.9,73,4.37,1.52,107888,37,35.9,7521,6.5168228
경남 하동군,2017,17536071,29.2,165,1645,11647,115,13.67,34.2,555,12.3,2.076,188,13.98,0,18.7,15,14.34,0.86,19991,17,52.0,2589,11.465899
대구 중구,2016,7054680,26.3,852,4172,303,469,2.47,36.7,785,11.4,4.209,700,25.5,0,9.6,12,13.8,3.63,25971,10,44.1,1901,6.820465
서울 동작구,2017,16387882,25.0,3620,16698,740,2282,1.84,34.0,12276,13.0,4.481,2814,24.99,3,5.0,34,1.77,1.19,111548,21,41.3,883,0.7853706
부산 연제구,2016,12078474,28.3,1787,9425,728,1030,2.65,25.6,765,10.6,4.631,1478,24.45,2,6.9,17,1.93,1.4,66576,16,42.9,4702,6.5967059
부산 중구,2016,4466946,29.6,170,1448,79,214,2.32,42.1,1699,11.1,3.55,211,23.32,0,11.7,4,8.85,1.39,16590,4,46.8,2218,11.7928541
경북 봉화군,2016,9484653,26.0,221,1003,18670,123,18.41,33.2,270,10.5,2.511,181,13.6,0,19.2,17,11.93,0.39,15035,14,52.8,1835,10.877297
인천 중구,2018,141227343,35.0,1956,7528,2844,709,3.14,35.1,4023,16.4,2.64,794,22.89,0,6.7,16,14.675,0.82,43765,13,41.3,4918,10.102089
전남 고흥군,2017,32660659,24.3,299,2060,19556,176,20.37,38.0,895,13.8,4.14,227,15.4,0,24.5,21,14.98,0.76,33151,17,55.0,5758,14.7986327
경남 함안군,2018,39479042,34.2,871,3713,7203,212,16.17,32.4,3597,21.7,2.408,307,18.78,0,14.7,21,7.37,1.18,28145,16,45.7,3567,11.248108
충남 아산시,2018,84935069,29.8,5750,21973,14521,1800,9.64,30.3,17420,21.2,2.388,2693,24.39,3,6.1,60,5.55,1.29,120706,45,38.2,14848,10.953568299999999
서울 양천구,2016,17410000,25.7,5177,24825,843,2258,2.39,20.1,4106,16.3,2.499,3334,26.73,0,4.8,49,1.67,2.17,137651,30,40.0,4385,3.0872455
인천 강화군,2018,17306615,34.8,543,2496,12124,207,8.24,29.0,830,10.4,3.734,258,16.48,1,13.9,20,16.65,0.71,27991,21,51.7,3918,12.2786675
서울 노원구,2017,35595942,27.1,6867,28364,853,2420,2.42,24.3,3672,20.4,4.35,3494,25.0,6,6.9,68,2.71,1.4,187025,42,41.0,4713,2.4580417
부산 사하구,2016,68381835,27.0,4510,14661,1164,1738,2.64,26.3,4363,13.1,2.687,2398,24.13,2,7.0,45,1.49,1.35,112348,27,42.0,7174,6.0022423
